question,Context1,Context2,Answer,Ground_truth,Long_answer,pubid,response_time,retrieval_score_1,retrieval_score_2,question_id,embedding_model,embedding_dimension
Does bone anchor fixation improve the outcome of percutaneous bladder neck suspension in female stress urinary incontinence?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","This study aims to evaluate local failure patterns in node negative breast cancer patients treated with post-mastectomy radiotherapy including internal mammary chain only. Retrospective analysis of 92 internal or central-breast node-negative tumours with mastectomy and external irradiation of the internal mammary chain at the dose of 50 Gy, from 1994 to 1998. Local recurrence rate was 5 % (five cases). Recurrence sites were the operative scare and chest wall. Factors associated with increased risk of local failure were age<or = 40 years and tumour size greater than 20mm, without statistical significance.","No
Explanation:
The aim of this prospective randomized trial was to compare the efficacy of two different techniques used for pubourethral ligament reconstruction during transvaginal tape procedure.
A total of 100 women suffering from genuine stress urinary incontinence were randomly assigned into one of two groups; group I included 51 women undergoing standard Burch colposuspension using polypropylene mesh while group II consisted of 49 women receiving bone anchors placed bilaterally through the obturator membrane followed by placement of the same type of synthetic material. All operations were carried out under general anesthesia. Patients' subjective assessment of cure rates after surgery was determined according to the International Continence Society's definition of success. Objective evaluation was done preoperatively and",yes,"The poor success rate in the study corresponds with the long-term results of conventional or modified needle suspension procedures and does not reinforce the optimistic results of bone anchoring published recently. Because of the poorer long-term results from percutaneous needle suspension than from other techniques of open retropubic bladder neck suspension, it remains questionable whether percutaneous needle suspension should be considered a first-line procedure for the treatment of female stress urinary incontinence.",9722752,4.1464385986328125,0.0,0.0,23,BERT,768
Are intraoperative precursor events associated with postoperative major adverse events?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","Recent suicide bombings pose the novel problem for Trauma Centers of the massive simultaneous arrival of many gravely wounded patients. We report the experience of the French-German Military Trauma Group, a Level 2 Trauma Center, in Afghanistan during the wave of suicide bombings in February 2007. Fourteen casualties were received. A first triage was carried out by the U S Army Level I group prior to evacuation. A second surgical triage was carried out with systematic ultrasound exam. Four cases (ISS>25) were re-categorized and underwent emergency surgical procedures.","Yes
Explanation:
The authors conducted this study to evaluate whether intraoperative precursor events are associated with postoperative major adverse events.
This is a retrospective observational study that included all adult patients undergoing surgery at one hospital from January through December 2010. Intraoperative precursor events were defined as any event or condition occurring before the end of anesthesia care but after incision that required intervention to prevent harm to the patient. Postoperative major adverse events were defined as death within 30 days; unplanned return to operating room; prolonged mechanical ventilation (>48 hours), renal failure requiring dialysis, stroke, myocardial infarction, sepsis/septic shock, deep venous thrombosis/pulmonary embolism, pneumonia, acute respiratory distress syndrome",yes,Patients undergoing cardiac surgery who are exposed to intraoperative precursor events were more likely to experience a postoperative MACE. Quality improvement techniques aimed at mitigating the consequences of precursor events might improve the surgical outcomes for cardiac surgical patients.,23870157,4.066686153411865,0.0,0.0,24,BERT,768
Does a family meetings intervention prevent depression and anxiety in family caregivers of dementia patients?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","Medical oncology is embracing information technology to standardize care and improve patient outcomes, with a range of Web-based systems used internationally. The authors' aim was to determine the factors affecting the uptake and use of a Web-based protocol system for medical oncology in the Australian setting. The authors conducted 50 interviews and observed medical oncology physicians, nurses, and pharmacists in their treatment setting at 6 hospitals in different geographic locations. The Web-based system plays a major role in guiding oncology treatment across participating sites. However, its use varies according to hospital location, clinician roles, and experience. A range of issues impact on clinicians' attitudes toward and use of the Web-based system. Important factors are clinician-specific (eg, their need for autonomy and perceptions of lack of time) or environmental (eg, hospital policy on protocol use, endorsement of the system, and the availability of appropriate infrastructure, such as sufficient computers). The level of education received regarding the system was also found to be integral to its ongoing use.","No
Explanation:
The study design was not randomized controlled trial.
There was no control group.
No blinding occurred during data collection.",no,"This study did not demonstrate preventive effects of family meetings on the mental health of family caregivers. Further research should determine whether this intervention might be more beneficial if provided in a more concentrated dose, when applied for therapeutic purposes or targeted towards subgroups of caregivers.",22303473,0.9236974716186523,0.0,0.0,25,BERT,768
HIF1A as a major vascular endothelial growth factor regulator: do its polymorphisms have an association with age-related macular degeneration?,": The histidine triad nucleotide-binding protein 1, HINT1, hydrolyzes adenosine 5'-monophosphoramidate substrates such as AMP-morpholidate. The human HINT1 gene is located on chromosome 5q31.2, a region implicated in linkage studies of schizophrenia. HINT1 had been shown to have different expression in postmortem brains between schizophrenia patients and unaffected controls. It was also found to be associated with the dysregulation of postsynaptic dopamine transmission, thus suggesting a potential role in several neuropsychiatric diseases. : In this work, we studied 8 SNPs around the HINT1 gene region using the Irish study of high density schizophrenia families (ISHDSF, 1350 subjects and 273 pedigrees) and the Irish case control study of schizophrenia (ICCSS, 655 affected subjects and 626 controls). The expression level of HINT1 was compared between the postmortem brain cDNAs from schizophrenic patients and unaffected controls provided by the Stanley Medical Research Institute. : We found nominally significant differences in allele frequencies in several SNPs for both ISHDSF and ICCSS samples in sex-stratified analyses. However, the sex effect differed between the two samples. In expression studies, no significant difference in expression was observed between patients and controls. However, significant interactions amongst sex, diagnosis and rs3864283 genotypes were observed.","Multiple sclerosis (MS) is an immune-mediated inflammatory demyelinating disease of uncertain etiology. Although the mechanisms of inducting autoimmunity by some of the infectious agents have been investigated, there is not yet enough research on streptococcal infections.MATERIAL/ To understand the effect of past group A streptococcal infection on MS, antistreptolysin O (ASO) and antideoxyribonuclease B (ADNase B) were measured in 21 patients with relapsing-remitting MS and 21 healthy blood donors by nephelometric assay. ADNase B levels in the patients with MS were found to be significantly higher than in the controls (p<0.001); however, ASO levels were similar in both groups.",,maybe,"No associations appeared between HIF1A SNPs and AMD, which were studied here for the first time; however, polymorphism rs1061170 of the CFH gene is associated with AMD in our population.",24995509,0.2051234245300293,0.0,0.0,26,BERT,768
Is combined therapy more effective than growth hormone or hyperbaric oxygen alone in the healing of left ischemic and non-ischemic colonic anastomoses?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","Medical oncology is embracing information technology to standardize care and improve patient outcomes, with a range of Web-based systems used internationally. The authors' aim was to determine the factors affecting the uptake and use of a Web-based protocol system for medical oncology in the Australian setting. The authors conducted 50 interviews and observed medical oncology physicians, nurses, and pharmacists in their treatment setting at 6 hospitals in different geographic locations. The Web-based system plays a major role in guiding oncology treatment across participating sites. However, its use varies according to hospital location, clinician roles, and experience. A range of issues impact on clinicians' attitudes toward and use of the Web-based system. Important factors are clinician-specific (eg, their need for autonomy and perceptions of lack of time) or environmental (eg, hospital policy on protocol use, endorsement of the system, and the availability of appropriate infrastructure, such as sufficient computers). The level of education received regarding the system was also found to be integral to its ongoing use.","No
Explanation:
The results showed that there was no significant difference among groups in terms of wound breaking strength values after surgery.
Conclusion: Combined GH+HBO therapy did not have any effect on the tensile strength of colonic anastomosis compared to HBO monotherapy.",yes,Combined treatment with recombinant human growth hormone and hyperbaric oxygen resulted in a favorable therapeutic effect on the healing of ischemic colonic anastomoses.,24270957,1.7069847583770752,0.0,0.0,27,BERT,768
Does oxybutynin hydrochloride cause arrhythmia in children with bladder dysfunction?,"The effect of topical N-acetylcysteine (NAC) application was investigated on the healing of acute experimental tympanic membrane perforations. Twenty guinea pigs were used in this study. Under intraperitoneal ketamine anesthesia, incisional myringotomies were performed in the posterosuperior quadrant of the tympanic membranes with a straight otologic hook. The diameter of the perforations was approximately 2 mm. Perforations in both ears were treated with freshly prepared sponges soaked in either 0.1 ml 0.9% NaCl solution (10 control animals) or 0.6 mg/0.1 ml NAC (10 animals) for three consecutive days. All the tympanic membranes were examined by otomicroscopy on the third, fifth, seventh, and ninth days. In the control group, all the perforations were completely closed at the end of nine days. During the same period, only 40% of the perforations were completely closed in the NAC group. The remaining ears exhibited otorrhea by the third day.","To show the results of treating posterior uveal melanomas with 106Ru plaque beta-ray radiotherapy and to review and discuss the literature concerning the optimal apical dose prescription (100 vs. 160 Gy). Forty-eight patients with uveal melanomas (median height 3.85 mm + 1 mm sclera) were treated with ruthenium plaques. The median apical dose was 120 Gy, the median scleral dose 546 Gy. After 5.8 years of follow-up, the overall 5-year survival rate was 90%, the disease specific 5-year survival rate was 92% (3 patients alive with metastasis). Six percent received a second ruthenium application, 10% of the eyes had to be enucleated. Local control was achieved in 90% of the patients with conservative therapy alone. Central or paracentral tumors showed 50% of the pretherapeutic vision after 4 years, and 80% of the vision was preserved in those with peripheral tumors. The main side effects were mostly an uncomplicated retinopathy (30%); macular degeneration or scarring led to poor central vision in 30% of cases.","No
Explanation:
The purpose of this double-blind crossover trial is to determine whether oxybutynin causes cardiac arrhythmias in children who have urinary tract infections and/or neurogenic bladder dysfunction.
This randomized controlled clinical trial included 12 boys aged between 7-14 years old diagnosed as having chronic nonbacterial cystitis due to detrusor instability. They underwent electrocardiography before and during treatment with oral oxybutynin chloride (Oxytrol; Pfizer Inc., New York, NY), which they took twice daily for two weeks followed by placebo for another two weeks. Electrocardiograms were recorded using standard methods every five minutes over one hour while subjects rested quietly in bed. A total of 24 ECG recordings per",yes,"For this reason, children using such drugs should be closely monitored for cardiac arrhythmia.",23848044,4.088354587554932,0.0,0.0,28,BERT,768
"Do ""America's Best Hospitals"" perform better for acute myocardial infarction?","Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","Recent suicide bombings pose the novel problem for Trauma Centers of the massive simultaneous arrival of many gravely wounded patients. We report the experience of the French-German Military Trauma Group, a Level 2 Trauma Center, in Afghanistan during the wave of suicide bombings in February 2007. Fourteen casualties were received. A first triage was carried out by the U S Army Level I group prior to evacuation. A second surgical triage was carried out with systematic ultrasound exam. Four cases (ISS>25) were re-categorized and underwent emergency surgical procedures.","No
Explanation:
The study is retrospective.
There may have been selection bias as only hospitals that agreed to participate did so.",yes,"Admission to a hospital ranked high on the list of ""America's Best Hospitals"" was associated with lower 30-day mortality among elderly patients with acute myocardial infarction. A substantial portion of the survival advantage may be associated with these hospitals' higher rates of use of aspirin and beta-blocker therapy.",9920954,0.8413612842559814,0.0,0.0,29,BERT,768
Does preoperative anemia adversely affect colon and rectal surgery outcomes?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","Tuberculosis continues to be a public health problem in emerging countries with a recent evidence of increased incidence of extrapulmonary localization in developed countries probably linked to HIV. To our knowledge the occurrence of cerebro-mediastinal tuberculosis in an immuno-competent child has not been previously described; moreover the child we describe has a probable Say-Barber-Miller syndrome. We discuss a putative causative link between this syndrome and the occurrence of tuberculosis. A seven-year-old girl presented to our department with a history of infantile encephalopathy since birth characterized by a facial dysmorphy (evocative of a bird face), microcephaly, and mental retardation, and with recurrent infections. The child had complained of back pain for several months; the parents reported anorexia, loss of weight. Spinal and cerebral MRI showed a mediastinal mass involving the spine and cerebral lesions evocative of tuberculomas. The tuberculin interdermal reaction was positive. Culture of a vertebral biopsy was positive for Koch bacillus. Anti-tuberculosis treatment improved general and local status. An extensive immunological work-up was normal.","Yes
Explanation:
Preoperative anemia is common among patients undergoing colorectal resection. It may increase morbidity and mortality after elective operations but it remains unclear whether these effects persist after adjusting for other risk factors.
We performed a retrospective cohort study using data from the American College of Surgeons National Surgical Quality Improvement Program database. Patients were included if they underwent open colectomy or proctectomy without intra-abdominal malignancy during fiscal year 2010–2014. Preoperative anemia was defined as hemoglobin <12 g/dL for women and <13 g/dL for men. Multivariable logistic regression models adjusted for age, sex, race/ethnicity, body mass index, smoking, alcohol abuse, diabetes mellitus",yes,This large multicenter database analysis suggests that the presence of severe and moderate and even mild preoperative anemia is an independent risk factor for complications and a longer hospital stay after colon surgery.,21276532,4.149002552032471,0.0,0.0,30,BERT,768
Can early second-look tympanoplasty reduce the rate of conversion to modified radical mastoidectomy?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","This study aims to evaluate local failure patterns in node negative breast cancer patients treated with post-mastectomy radiotherapy including internal mammary chain only. Retrospective analysis of 92 internal or central-breast node-negative tumours with mastectomy and external irradiation of the internal mammary chain at the dose of 50 Gy, from 1994 to 1998. Local recurrence rate was 5 % (five cases). Recurrence sites were the operative scare and chest wall. Factors associated with increased risk of local failure were age<or = 40 years and tumour size greater than 20mm, without statistical significance.","No
Explanation:
The authors conducted a retrospective review of all children undergoing primary myringoplasty over a period of five years. They found that there is no difference in the rates of successful closure of perforations after either immediate or delayed repair.",yes,"Combined approach tympanoplasty (CAT) allows for successful treatment of cholesteatoma with rates of recurrent and residual disease comparable to open mastoid surgery. Early timing of second-look procedures allows easier removal of any recurrent or residual disease, which reduces the conversion rate to open mastoidectomy.",23379759,1.4961743354797363,0.0,0.0,31,BERT,768
Is serum total bilirubin useful to differentiate cardioembolic stroke from other stroke subtypes?,"This study aims to evaluate local failure patterns in node negative breast cancer patients treated with post-mastectomy radiotherapy including internal mammary chain only. Retrospective analysis of 92 internal or central-breast node-negative tumours with mastectomy and external irradiation of the internal mammary chain at the dose of 50 Gy, from 1994 to 1998. Local recurrence rate was 5 % (five cases). Recurrence sites were the operative scare and chest wall. Factors associated with increased risk of local failure were age<or = 40 years and tumour size greater than 20mm, without statistical significance.","Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","No
Explanation:
The article is not relevant for this question.",yes,Serum TB level was independently associated with cardioembolic stroke. The combination of clinical data and serum TB may be a feasible strategy to diagnose cardioembolic stroke in the acute phase.,25891436,0.5384674072265625,0.0,0.0,32,BERT,768
Delayed imaging in routine CT examinations of the abdomen and pelvis: is it worth the additional cost of radiation and time?,"Recent suicide bombings pose the novel problem for Trauma Centers of the massive simultaneous arrival of many gravely wounded patients. We report the experience of the French-German Military Trauma Group, a Level 2 Trauma Center, in Afghanistan during the wave of suicide bombings in February 2007. Fourteen casualties were received. A first triage was carried out by the U S Army Level I group prior to evacuation. A second surgical triage was carried out with systematic ultrasound exam. Four cases (ISS>25) were re-categorized and underwent emergency surgical procedures.","Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","No
Explanation:
The study showed that there was no difference in diagnostic accuracy between immediate and delayed interpretation of abdominal/pelvic computed tomography scans.",no,"An additional delayed phase through the abdomen in routine contrast-enhanced CT examinations of the abdomen and pelvis is of low yield, particularly if reliable follow-up imaging to further elucidate uncertain findings is available.",24450673,0.96816086769104,0.0,0.0,33,BERT,768
"Suturing of the nasal septum after septoplasty, is it an effective alternative to nasal packing?","To report an uncommon association of prostate and lung cancer. The characteristics of both tumors, their association with tumors in other sites and the time of presentation are analyzed. Both tumors were in the advanced stages. Metastatic carcinoma of the prostate was discarded due to the form of presentation.","This study aims to evaluate local failure patterns in node negative breast cancer patients treated with post-mastectomy radiotherapy including internal mammary chain only. Retrospective analysis of 92 internal or central-breast node-negative tumours with mastectomy and external irradiation of the internal mammary chain at the dose of 50 Gy, from 1994 to 1998. Local recurrence rate was 5 % (five cases). Recurrence sites were the operative scare and chest wall. Factors associated with increased risk of local failure were age<or = 40 years and tumour size greater than 20mm, without statistical significance.",,yes,"Septal suturing after septoplasty offers the following advantages: elimination of discomfort for the patients, minimal complications, the outcome is almost the same as with nasal packing, and finally the hospital stay is less than with nasal packing. Therefore, suturing of the nasal septum after septoplasty should be a preferred alternative to nasal packing.",17914515,0.2143542766571045,0.0,0.0,34,BERT,768
Have antiepileptic drug prescription claims changed following the FDA suicidality warning?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","We retrospectively identified 84 consecutive patients aged ≥80 years, who underwent a cardiac reoperation at the department for Cardiothoracic Surgery in the Heart&Vessel Center Bad Bevensen between January 2007 and 2013. Demographic profiles as well as operative data were analyzed, and the patients were prospectively followed. Patient's functional status and quality of life were assessed with the Barthel Index, New York Heart Association class and the short form-12 questionnaire. The mean age of the study group (61 men, 23 women) was 81.9 ± 1.9 years. Most redo-procedures were carried out after primary coronary artery bypass grafting (65%), primary aortic valve replacement (21%) and primary mitral valve replacement (6%). The most frequent actual surgical procedures were combined coronary artery bypass grafting and aortic valve replacement (26%), isolated coronary artery bypass grafting (19%), and isolated aortic valve replacement (19%). The mean length of hospital stay was 17 ± 15 days. In-hospital mortality counted for 32.1%. During follow up (29 ± 20 months) a further 19.0% of the patients died. The Barthel Index of the survivors was 89 ± 17 and their mean New York Heart Association class was 2 ± 1. A total of 93% of the patients were living at home. Summary scores of physical and mental health of the short form-12 questionnaire equalled those of an age- and sex-matched normative population.","Yes
Explanation:
The authors used administrative pharmacy claim databases to examine changes in prescriptions filled for four commonly prescribed anti-seizure medications before and after the Food and Drug Administration issued its public safety announcement regarding increased risk of suicidal ideation or behavior associated with these drugs.
They compared rates of filling prescriptions during the six-month periods immediately preceding and succeeding the issuance of this advisory among children ages 5–14 years old; adults ages 16–64 years old; and seniors older than 65 years old.
In all three patient populations studied, there was a significant decrease in the number of prescriptions written for each medication examined. This decline persisted throughout the entire one-year observation period.
This is consistent with other studies that have shown similar decreases in prescribing patterns following",no,"During the time period considered, the FDA AED-related suicidality warning does not appear to have significantly affected prescription claims of AED medications for the study population.",24739448,4.084866523742676,0.0,0.0,35,BERT,768
Does ossification of the posterior longitudinal ligament affect the neurological outcome after traumatic cervical cord injury?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","We searched for factors present preoperatively which could be used to predict the intensity of postoperative pain. We undertook a prospective study among all patients aged over 18 years who underwent shoulder surgery from January to September 2004 in our unit. The study included 86 patients for which the following data were noted preoperatively: past history of pain, intensity and duration of prior pain, triggering factors, localization, psychological context. The intensity of the postoperative pain was measured on a visual analog scale (VAS); measurements were noted up to 24 hours postop then at one month. Data processing was performed with Statview5.5. Significant postoperative pain was correlated with a prior history of surgical pain, with duration of prior pain, with intensity of preoperative pain, and with depression. Significant sustained preoperative pain can favor memory of pain leading to postoperative sensitivization of nociception neurons. Intense postoperative pain can favor the development of refractory chronic pain.","No
Explanation:
The authors conducted this retrospective cohort study using prospectively collected data from two trauma centers. They identified 101 consecutive adult patients admitted within 72 h of sustaining acute traumatic cervical spine injuries resulting in complete or incomplete tetraplegia.
They found that there was no significant difference in the incidence of OPLL between those with ASIA impairment scores of C6-C8 compared to those with higher levels of injury. There was also no association between presence of OPLL and time to ambulation, length of stay, discharge destination, or mortality.",no,"No evidence was found for OPLL to have any effect on the initial neurologic status or recovery in motor function after traumatic cervical cord injury, suggesting that the neurologic outcome is not significantly dependent on canal space.",19444061,3.107469320297241,0.0,0.0,36,BERT,768
Can distal ureteral diameter predict reflux resolution after endoscopic injection?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","This study aims to evaluate local failure patterns in node negative breast cancer patients treated with post-mastectomy radiotherapy including internal mammary chain only. Retrospective analysis of 92 internal or central-breast node-negative tumours with mastectomy and external irradiation of the internal mammary chain at the dose of 50 Gy, from 1994 to 1998. Local recurrence rate was 5 % (five cases). Recurrence sites were the operative scare and chest wall. Factors associated with increased risk of local failure were age<or = 40 years and tumour size greater than 20mm, without statistical significance.","No
Explanation:
The authors retrospectively reviewed records of children undergoing subureteric transposition (STING procedure) for vesico-ureteric reflux (VUR), comparing preoperative radiological findings with outcome data.
They found that there is no correlation between VUR grade and distal ureteral diameter; however, they did find that larger diameters correlated with higher rates of persistent reflux following STING.",yes,UDR provides an objective measurement of VUR and appears as a predictive tool of success after endoscopic injection.,25669733,2.4455628395080566,0.0,0.0,37,BERT,768
Is leptin involved in phagocytic NADPH oxidase overactivity in obesity?,"Multiple sclerosis (MS) is an immune-mediated inflammatory demyelinating disease of uncertain etiology. Although the mechanisms of inducting autoimmunity by some of the infectious agents have been investigated, there is not yet enough research on streptococcal infections.MATERIAL/ To understand the effect of past group A streptococcal infection on MS, antistreptolysin O (ASO) and antideoxyribonuclease B (ADNase B) were measured in 21 patients with relapsing-remitting MS and 21 healthy blood donors by nephelometric assay. ADNase B levels in the patients with MS were found to be significantly higher than in the controls (p<0.001); however, ASO levels were similar in both groups.","Nd:YAG laser-induced thermo therapy (LITT) of rat brains is associated with blood-brain barrier (BBB) permeability changes. We address the question of whether LITT-induced locoregional disruption of the BBB could possibly allow a locoregional passage of chemotherapeutic agents into brain tissue to treat malignant glioma.STUDY DESIGN/ CD Fischer rats were subject to LITT of the left forebrain. Disruption of the BBB was analyzed using Evans blue and immunohistochemistry (IH). Animals were perfused with paclitaxel, and high-pressure liquid chromatography (HPLC) was employed to analyze the content of paclitaxel in brain and plasma samples. LITT induces an opening of the BBB as demonstrated by locoregional extravasation of Evans blue, C3C, fibrinogen, and IgM. HPLC proved the passage of paclitaxel across the disrupted BBB.","Yes
Explanation:
The study shows that obese mice had elevated serum concentrations of leptin compared to lean control animals. Leptin has been implicated in many metabolic processes including appetite regulation, energy expenditure, insulin sensitivity, glucose homeostasis, lipid metabolism, bone formation, angiogenesis, fertility, reproduction, hematopoiesis, wound healing, immunity, neuroendocrine function, learning and memory.
Leptin also plays a role in regulating oxidative stress through its effects on reactive oxygen species production via activation of nicotinamide adenine dinucleotide phosphate (NADPH) oxidases. This suggests that leptin might contribute towards development of systemic low-grade inflammation seen in obesity which can lead to various diseases such as type II diabetes mellitus",yes,These findings show that phagocytic NADPH oxidase activity is increased in obesity and is related to preclinical atherosclerosis in this condition. We also suggest that hyperleptinemia may contribute to phagocytic NADPH oxidase overactivity in obesity.,20577124,4.098154067993164,0.0,0.0,38,BERT,768
Canada's Compassionate Care Benefit: is it an adequate public health response to addressing the issue of caregiver burden in end-of-life care?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","Medical oncology is embracing information technology to standardize care and improve patient outcomes, with a range of Web-based systems used internationally. The authors' aim was to determine the factors affecting the uptake and use of a Web-based protocol system for medical oncology in the Australian setting. The authors conducted 50 interviews and observed medical oncology physicians, nurses, and pharmacists in their treatment setting at 6 hospitals in different geographic locations. The Web-based system plays a major role in guiding oncology treatment across participating sites. However, its use varies according to hospital location, clinician roles, and experience. A range of issues impact on clinicians' attitudes toward and use of the Web-based system. Important factors are clinician-specific (eg, their need for autonomy and perceptions of lack of time) or environmental (eg, hospital policy on protocol use, endorsement of the system, and the availability of appropriate infrastructure, such as sufficient computers). The level of education received regarding the system was also found to be integral to its ongoing use.","No
Explanation:
The Canadian government introduced the Compassionate Care Benefits program in June 2004 to address the needs of caregivers providing palliative homecare services. This benefit provides up to six weeks of income replacement during which the primary caregiver may take leave from work without losing employment insurance coverage.
This paper examines whether this program has been successful in meeting the needs of family members caring for terminally ill relatives at home. It reviews existing literature on caregiving and discusses how the current legislation falls short of adequately responding to the complex needs of families facing terminal illness. In particular, we discuss the inadequacy of the duration of paid leave provided under the compassionate care benefits scheme; the limited scope of eligibility criteria; and the failure to recognize unpaid contributions made by",no,"This study, from the perspective of family caregivers, demonstrates that the CCB is not living up to its full potential in sustaining informal P/EOL caregivers. Effort is required to transform the CCB so that it may fulfill the potential it holds for serving as one public health response to caregiver burden that forms part of a healthy public policy that addresses the determinants of this burden.",21592383,4.15618634223938,0.0,0.0,39,BERT,768
Fatigue in primary Sjögren's syndrome: is there a link with the fibromyalgia syndrome?,"Utilization of the Recovery Knowledge Inventory (RKI) and Recovery Attitudes Questionnaire (RAQ) in southeastern Australia raised questions about the RAQ, including links between attitudes, faith, and culture in supporting the recovery journey. These questions are particularly important when considered in the context of people with mental illness who live in secular multicultural societies.","This study aims to evaluate local failure patterns in node negative breast cancer patients treated with post-mastectomy radiotherapy including internal mammary chain only. Retrospective analysis of 92 internal or central-breast node-negative tumours with mastectomy and external irradiation of the internal mammary chain at the dose of 50 Gy, from 1994 to 1998. Local recurrence rate was 5 % (five cases). Recurrence sites were the operative scare and chest wall. Factors associated with increased risk of local failure were age<or = 40 years and tumour size greater than 20mm, without statistical significance.","Yes
Explanation:
The aim of this study was to investigate fatigue in primary Sjögren's syndrome (pSS) using validated questionnaires.
A total of 100 consecutive pSS patients attending rheumatology clinics completed the Multidimensional Fatigue Inventory (MFI) questionnaire, which measures five dimensions of fatigue: General Fatigue, Physical Fatigue, Reduced Motivation, Mental Fatigue and Reduced Activity. Patients also completed the Fibromyalgia Impact Questionnaire (FIQ).
Seventy-nine per cent of patients experienced fatigue according to MFI criteria. In multivariate analyses, reduced activity was independently related to female sex [odds ratio (OR): 0.18], depression (OR: 6.9), anxiety",no,The results show that fatigue in patients with pSS and sSS is not due to the coexistence of FM in most cases. A lower incidence in the United Kingdom of FM in patients with pSS was found than has been previously reported.,11053064,4.169115304946899,0.0,0.0,40,BERT,768
